"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.793","1.30238548122566","BLCA",1
"2","0.5","0.1","1.44879110730849","BRCA_1",2
"3","0.5","0.436","1.60924727932339","BRCA_2",3
"4","0.5","0.352","1.18844085861954","COAD_READ",4
"5","0.5","0.074","1.28425188392379","HNSC",5
"6","0.5","0.134","1.10792165930154","KICH",6
"7","0.5","0.138","1.08389974506442","KIRC",7
"8","0.5","0.084","0.796872629049343","KIRP",8
"9","0.5","0.103","0.490406455633918","LIHC",9
"10","0.5","0.133","1.31763650692906","LUAD",10
"11","0.5","0.225","1.78186052091806","LUSC",11
"12","0.5","0.111","1.15326905744031","PRAD",12
"13","0.5","0.15","1.37836193327354","STES",13
"14","0.5","0.115","0.91000855839083","THCA",14
"15","0.5","0.321","1.16644984087487","UCEC",15
