"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.415","0.0987560618428304","BLCA",1
"2","0.5","0.761","0.46788919940512","BRCA_1",2
"3","0.5","0.435","-0.0599204772970367","BRCA_2",3
"4","0.5","0.593","0.110733891888587","COAD_READ",4
"5","0.5","0.651","-0.5641115008908","HNSC",5
"6","0.5","0.472","0.312796701158818","KICH",6
"7","0.5","0.729","0.341783953006406","KIRC",7
"8","0.5","0.638","0.238198165973736","KIRP",8
"9","0.5","0.85","1.00573657331312","LIHC",9
"10","0.5","0.656","-0.111410734070396","LUAD",10
"11","0.5","0.601","-0.295449047803153","LUSC",11
"12","0.5","0.817","0.812572360744317","PRAD",12
"13","0.5","0.718","-0.248477036818358","STES",13
"14","0.5","0.792","0.843956987074345","THCA",14
"15","0.5","0.496","0.124187919444267","UCEC",15
