"","likelihood","bart","expr","rank_size"
"1",0.5,0.295,-0.649407654748239,11
"2",0.5,0.636,-0.457026058981847,5
"3",0.5,0.218,-0.5549926234564,7
"4",0.5,0.293,-0.229926811076839,1
"5",0.5,0.673,-1.06977126078177,14
"6",0.5,0.262,-1.06388692202989,13
"7",0.5,0.68,-0.538252640166464,6
"8",0.5,0.579,-0.567623492471009,8
"9",0.5,0.757,-1.34233968582947,15
"10",0.5,0.669,-0.429785004343231,3
"11",0.5,0.608,-0.442689379103873,4
"12",0.5,0.698,-0.642196961153898,10
"13",0.5,0.462,-0.275163757621343,2
"14",0.5,0.785,-0.795076900192595,12
"15",0.5,0.19,-0.610487639945376,9
