"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.569","-1.86515114905729","BLCA",1
"2","0.5","0.299","-1.19137235017881","BRCA_1",2
"3","0.5","0.488","-1.51934091101341","BRCA_2",3
"4","0.5","0.245","-1.93511604458646","COAD_READ",4
"5","0.5","0.101","-0.119470330314995","HNSC",5
"6","0.5","0.308","-2.07068212557118","KICH",6
"7","0.5","0.179","-1.1077855975142","KIRC",7
"8","0.5","0.278","-2.05415197274426","KIRP",8
"9","0.5","0.195","-2.01486521475626","LIHC",9
"10","0.5","0.413","-2.08390055290841","LUAD",10
"11","0.5","0.494","-0.8519815779391","LUSC",11
"12","0.5","0.285","1.72579985366681","PRAD",12
"13","0.5","0.353","-1.88454642143377","STES",13
"14","0.5","0.189","-1.25008591929643","THCA",14
"15","0.5","0.846","-1.82790285537005","UCEC",15
