"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"179","ZFP2",1.279,0.101,1.219,0.608,0.206,0.0395,179,1.40340290437354
"180","ARID2",1.599,0.055,0.385,0.627,0.206,0.0395,180,1.40340290437354
"181","ZNF674",1.113,0.133,1.061,0.616,0.207,0.04,181,1.39794000867204
"182","RBL1",0.957,0.169,1.659,0.607,0.207,0.04,182,1.39794000867204
"183","CREB1",1.49,0.0681,-0.24,0.686,0.207,0.0402,183,1.39577394691553
"184","STAG1",1.998,0.0229,0.328,0.618,0.211,0.0421,184,1.37571790416433
"185","ZNF423",1.347,0.089,0.975,0.611,0.211,0.0425,185,1.37161106994969
"186","ZSCAN22",1.9,0.0287,0.301,0.62,0.212,0.0427,186,1.36957212497498
"187","LEO1",0.961,0.168,1.528,0.607,0.212,0.0432,187,1.36451625318509
"188","HCFC1R1",0.87,0.192,1.656,0.602,0.215,0.0449,188,1.34775365899668
"189","AHR",0.699,0.242,1.735,0.606,0.216,0.0452,189,1.34486156518862
"190","TET1",1.332,0.0915,0.386,0.632,0.219,0.047,190,1.32790214206428
"191","XRN2",1.711,0.0435,-0.322,0.657,0.221,0.0484,191,1.31515463835559
"192","BPTF",1.047,0.148,0.933,0.612,0.223,0.0496,192,1.3045183235098
"193","PAF1",1.886,0.0297,-0.244,0.646,0.225,0.0515,193,1.28819277095881
"194","PSIP1",0.365,0.358,0.498,0.658,0.226,0.052,194,1.2839966563652
"195","ZNF740",0.832,0.203,0.749,0.62,0.227,0.0528,195,1.27736607746619
"196","NKX3-1",0.826,0.204,1.962,0.592,0.228,0.053,196,1.27572413039921
"197","GPS2",1,0.159,0.993,0.609,0.228,0.053,197,1.27572413039921
"198","ELF1",1.293,0.098,-0.444,0.715,0.23,0.0548,198,1.26121944151563
"199","HIC1",1.063,0.144,1.164,0.6,0.23,0.0551,199,1.25884840114821
"200","TLE3",0.174,0.431,1.431,0.621,0.23,0.0551,200,1.25884840114821
"201","ESRRA",0.564,0.286,1.052,0.618,0.232,0.0561,201,1.25103713874384
"202","CBX1",0.88,0.189,0.743,0.616,0.233,0.0566,202,1.24718356881173
"203","ING5",0.624,0.266,2.207,0.592,0.233,0.0571,203,1.24336389175415
"204","DDX21",1.588,0.0562,0.11,0.622,0.234,0.0577,204,1.23882418684427
"205","ZNF217",0.672,0.251,1.865,0.594,0.234,0.0577,205,1.23882418684427
"206","CDK9",1.454,0.073,-0.591,0.727,0.235,0.0582,206,1.23507701535011
"207","KLF8",1.08,0.14,0.438,0.623,0.236,0.059,207,1.22914798835786
"208","REPIN1",-0.079,0.532,0.515,0.669,0.238,0.0604,208,1.21896306137887
"209","RUNX2",0.375,0.354,1.323,0.611,0.238,0.0604,209,1.21896306137887
"210","ZNF600",0.989,0.161,1.154,0.598,0.238,0.0604,210,1.21896306137887
"211","ERCC6",0.117,0.453,-0.063,0.746,0.239,0.0612,211,1.21324857785444
"212","BRD4",1.664,0.048,-0.683,0.706,0.239,0.0615,212,1.21112488422458
"213","HSF1",0.699,0.242,-0.247,0.696,0.24,0.062,213,1.20760831050175
"214","PRDM14",0.729,0.233,1.432,0.596,0.24,0.0623,214,1.20551195334083
"215","MXI1",1.463,0.0718,0.201,0.619,0.242,0.0634,215,1.19791074211827
"216","CDK7",1.584,0.0566,-0.046,0.625,0.242,0.0634,216,1.19791074211827
"217","POLR3D",-0.684,0.753,0.703,0.732,0.242,0.0637,217,1.19586056766465
"218","MGEA5",0.859,0.195,1.06,0.602,0.242,0.0637,218,1.19586056766465
"219","EED",0.028,0.489,0.558,0.654,0.243,0.0643,219,1.19178902707578
"220","MCRS1",1.24,0.108,0.223,0.624,0.243,0.0643,220,1.19178902707578
"221","E2F3",1.027,0.152,0.64,0.611,0.244,0.0652,221,1.18575240426808
"222","SOX9",1.1,0.136,0.373,0.619,0.245,0.066,222,1.18045606445813
"223","HOXB13",0.498,0.309,1.39,0.603,0.245,0.0663,223,1.17848647159523
"224","XBP1",0.155,0.438,0.642,0.642,0.246,0.0666,224,1.1765257708297
"225","ZNF2",1.062,0.144,0.933,0.596,0.248,0.0687,225,1.16304326294045
"226","INTS12",1.064,0.144,0.474,0.613,0.249,0.0693,226,1.15926676538819
"227","ZNF501",1.195,0.116,0.579,0.604,0.249,0.0696,227,1.15739076038944
"228","CDCA2",0.618,0.268,1.54,0.591,0.252,0.0717,228,1.1444808443322
"229","NFE2",0.76,0.224,0.713,0.607,0.253,0.0729,229,1.13727247168203
"230","ZXDC",0.592,0.277,1.626,0.59,0.253,0.0733,230,1.13489602535887
"231","TFAP4",0.348,0.364,0.411,0.639,0.254,0.0736,231,1.1331221856625
"232","KLF15",1.175,0.12,-0.367,0.658,0.256,0.0758,232,1.12033079436795
"233","ZNF786",0.899,0.184,0.668,0.604,0.257,0.0764,233,1.11690664142431
