"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","GRHL2",6.314,1.36e-10,3.108,0.691,0.013,1.06e-05,1,4.97469413473523
"2","GREB1",3.786,7.67e-05,2.981,0.723,0.016,1.91e-05,2,4.71896663275227
"3","ASCL1",4.948,3.76e-07,2.564,0.755,0.018,2.61e-05,3,4.58335949266172
"4","ZEB1",3.157,0.000796,2.929,0.724,0.022,4.52e-05,4,4.34486156518862
"5","KLF4",3.417,0.000317,3.067,0.685,0.022,4.75e-05,5,4.32330639037513
"6","MAX",4.868,5.63e-07,2.756,0.675,0.025,6.87e-05,6,4.16304326294045
"7","KLF5",3.63,0.000142,2.501,0.717,0.026,8.13e-05,7,4.08990945440593
"8","ZMYM3",4.032,2.77e-05,2.465,0.693,0.028,9.92e-05,8,4.00348832784582
"9","TFAP2C",4.291,8.88e-06,3.184,0.659,0.028,0.000103,9,3.98716277529483
"10","SNAI2",4.266,9.94e-06,2.315,0.698,0.032,0.000143,10,3.84466396253494
"11","ESR1",15.222,1.26e-52,2.304,0.675,0.032,0.000147,11,3.83268266525182
"12","SIRT1",3.241,0.000596,2.943,0.665,0.034,0.000174,12,3.7594507517174
"13","HNF4A",3.944,4.01e-05,2.09,0.703,0.039,0.000263,13,3.58004425151024
"14","WDHD1",2.415,0.00788,2.861,0.673,0.042,0.000344,14,3.46344155742847
"15","BCAT1",2.353,0.00932,3.575,0.659,0.046,0.000449,15,3.34775365899668
"16","ZNF592",2.351,0.00936,2.958,0.66,0.051,0.000586,16,3.23210238398191
"17","ZNF687",2.424,0.00768,2.288,0.68,0.052,0.000637,17,3.19586056766465
"18","POLR3D",4.995,2.95e-07,2.957,0.643,0.053,0.000664,18,3.17783192063198
"19","CTBP1",2.626,0.00432,3.176,0.648,0.054,0.000692,19,3.15989390554324
"20","HDAC2",3.849,5.94e-05,2.48,0.649,0.054,0.00072,20,3.14266750356873
"21","SUZ12",5.352,4.35e-08,1.496,0.703,0.059,0.000939,21,3.02733440773389
"22","RARA",2.098,0.018,2.92,0.659,0.059,0.000939,22,3.02733440773389
"23","EHF",2.422,0.00772,2.349,0.66,0.06,0.000974,23,3.01144104312138
"24","ETV5",2.321,0.0102,2.749,0.654,0.063,0.0011,24,2.95860731484178
"25","SRC",2.744,0.00304,4.577,0.64,0.064,0.00118,25,2.92811799269387
"26","ZBTB48",5.41,3.14e-08,2.753,0.638,0.065,0.00124,26,2.90657831483776
"27","CAMTA2",1.707,0.0439,2.742,0.67,0.067,0.00137,27,2.86327943284359
"28","ZNF701",1.686,0.0459,3.215,0.659,0.069,0.00146,28,2.83564714421556
"29","E2F2",1.709,0.0437,2.54,0.674,0.069,0.00146,29,2.83564714421556
"30","E2F6",3.696,0.000109,2.093,0.647,0.069,0.00148,30,2.82973828460504
"31","GRHL1",1.722,0.0425,2.284,0.697,0.069,0.0015,31,2.82390874094432
"32","RARG",2.766,0.00284,2.276,0.649,0.07,0.00155,32,2.80966830182971
"33","TFAP2A",2.474,0.00668,1.902,0.669,0.07,0.00157,33,2.80410034759077
"34","NR1H2",3.066,0.00109,2.553,0.641,0.072,0.00165,34,2.78251605578609
"35","DROSHA",2.375,0.00878,2.003,0.664,0.072,0.00167,35,2.77728352885242
"36","EZH2",6.442,5.91e-11,1.161,0.742,0.073,0.00172,36,2.76447155309245
"37","CBX1",2.653,0.00399,3.489,0.637,0.074,0.00183,37,2.73754891026957
"38","KLF3",1.715,0.0432,2.275,0.68,0.074,0.00183,38,2.73754891026957
"39","KDM4A",2.574,0.00502,1.98,0.658,0.074,0.00185,39,2.73282827159699
"40","HCFC1R1",1.694,0.0451,2.559,0.663,0.075,0.00191,40,2.71896663275227
"41","KDM5B",3.453,0.000277,2.398,0.64,0.075,0.00194,41,2.71219827006977
"42","TFDP1",3.327,0.000439,1.4,0.663,0.082,0.00245,42,2.61083391563547
"43","TCF4",1.848,0.0323,1.934,0.673,0.084,0.00268,43,2.57186520597121
"44","CDX2",2.026,0.0214,2.447,0.646,0.085,0.00278,44,2.55595520408192
"45","MECOM",1.657,0.0488,2.619,0.651,0.089,0.00315,45,2.5016894462104
"46","ZXDC",1.631,0.0514,3.361,0.645,0.09,0.00323,46,2.4907974776689
"47","ZMYND8",2.224,0.0131,1.349,0.702,0.09,0.00327,47,2.48545224733971
"48","TET2",2.604,0.0046,1.862,0.645,0.093,0.00367,48,2.43533393574791
"49","MBD2",2.826,0.00236,1.798,0.644,0.094,0.00376,49,2.42481215507234
"50","NR1H3",2.762,0.00287,2.516,0.632,0.095,0.00385,50,2.4145392704915
"51","NIPBL",1.937,0.0264,1.443,0.683,0.095,0.00389,51,2.41005039867429
"52","MNT",2.013,0.0221,2.003,0.649,0.097,0.00407,52,2.39040559077478
"53","ZKSCAN1",2.397,0.00827,3.848,0.627,0.097,0.00412,53,2.38510278396687
"54","HOXA4",1.682,0.0463,2.056,0.658,0.097,0.00416,54,2.38090666937326
"55","TP63",3.281,0.000517,1.35,0.649,0.098,0.00421,55,2.37571790416433
"56","MYC",9.222,1.46e-20,0.819,0.696,0.1,0.00449,56,2.34775365899668
"57","ZNF217",1.612,0.0535,3.023,0.643,0.1,0.00454,57,2.3429441471429
