"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"70","RXRA",2.363,0.00906,1.483,0.696,0.113,0.00647,70,2.1890957193313
"71","PTTG1",1.851,0.0321,2.834,0.563,0.113,0.00647,71,2.1890957193313
"72","IRF9",1.86,0.0315,2.901,0.56,0.115,0.00685,72,2.16430942850757
"73","JARID2",5.285,6.29e-08,1.262,0.665,0.116,0.00711,73,2.14813039927023
"74","MKL2",2.777,0.00275,1.988,0.577,0.117,0.00718,74,2.1438755557577
"75","E2F7",2.408,0.00801,1.517,0.635,0.12,0.00772,75,2.11238269966426
"76","NKX2-1",2.069,0.0193,2.42,0.564,0.12,0.00786,76,2.10457745396059
"77","ESCO2",1.512,0.0653,2.402,0.582,0.121,0.00793,77,2.1007268126824
"78","PRKDC",1.579,0.0572,2.017,0.606,0.122,0.00814,78,2.0893755951108
"79","LMTK3",1.474,0.0703,2.699,0.569,0.122,0.00822,79,2.08512818245995
"80","SUZ12",4.435,4.6e-06,1.175,0.683,0.123,0.00829,80,2.08144546944973
"81","ZNF707",1.336,0.0908,2.596,0.577,0.124,0.00851,81,2.07007043991541
"82","TERC",2.448,0.00717,2.295,0.556,0.124,0.00866,82,2.06248210798265
"83","MYOD1",1.985,0.0236,2.187,0.574,0.125,0.00881,83,2.05502409158795
"84","USF1",1.981,0.0238,2.561,0.554,0.127,0.00912,84,2.04000516167158
"85","NR3C1",3.227,0.000626,1.347,0.627,0.127,0.0092,85,2.03621217265444
"86","ZNF354C",1.345,0.0893,3.19,0.561,0.129,0.00959,86,2.01818139282934
"87","PTRF",1.685,0.046,2.867,0.55,0.129,0.00975,87,2.01099538430146
"88","KDM4A",2.171,0.015,1.565,0.616,0.13,0.01,88,2
"89","SOX4",2.166,0.0152,2.241,0.561,0.132,0.0103,89,1.98716277529483
"90","ZNF140",1.433,0.0759,2.871,0.558,0.132,0.0104,90,1.98296666070122
"91","SOX2",3.005,0.00133,2.003,0.559,0.134,0.0108,91,1.96657624451305
"92","STAT3",2.443,0.00729,1.277,0.636,0.134,0.0109,92,1.96257350205938
"93","FOXK1",1.147,0.126,2.98,0.573,0.134,0.0109,93,1.96257350205938
"94","LIN9",1.454,0.0729,2.322,0.574,0.136,0.0114,94,1.94309514866353
"95","NFE2L2",2.081,0.0187,1.501,0.616,0.137,0.0115,95,1.93930215964639
"96","ZNF488",1.518,0.0645,3.055,0.549,0.137,0.0116,96,1.93554201077308
"97","TRIM25",2.208,0.0136,1.914,0.571,0.139,0.0121,97,1.91721462968355
"98","LMNB1",1.345,0.0894,2.613,0.561,0.14,0.0124,98,1.90657831483776
"99","ZNF292",1.307,0.0956,2.92,0.558,0.14,0.0124,99,1.90657831483776
"100","SRF",2.443,0.00728,1.574,0.584,0.141,0.0127,100,1.89619627904404
"101","ZFP57",1.927,0.027,2.157,0.564,0.141,0.0127,101,1.89619627904404
"102","STAG1",5.726,5.14e-09,1.333,0.588,0.142,0.0129,102,1.88941028970075
"103","CTCFL",2.606,0.00459,1.532,0.584,0.143,0.0131,103,1.88272870434424
"104","ERCC3",1.234,0.109,3.553,0.553,0.144,0.0135,104,1.86966623150499
"105","RBL1",1.4,0.0808,2.384,0.566,0.145,0.0137,105,1.86327943284359
"106","NME2",1.654,0.0491,2.48,0.55,0.145,0.0137,106,1.86327943284359
"107","ZNF202",1.553,0.0603,2.043,0.575,0.146,0.0139,107,1.85698519974591
"108","BANF1",2.111,0.0174,1.978,0.564,0.146,0.014,108,1.85387196432176
"109","ZNF2",1.734,0.0415,1.927,0.573,0.146,0.0141,109,1.85078088734462
"110","SFPQ",1.222,0.111,3.139,0.552,0.147,0.0143,110,1.84466396253494
"111","SON",1.507,0.0659,1.922,0.581,0.148,0.0147,111,1.83268266525182
"112","JMJD6",2.835,0.0023,1.018,0.641,0.148,0.0147,112,1.83268266525182
"113","TSC22D4",1.313,0.0946,2.279,0.571,0.15,0.0152,113,1.81815641205523
"114","ZNF680",1.597,0.0551,2.555,0.547,0.151,0.0154,114,1.81247927916354
"115","ZNF436",1.395,0.0816,2.255,0.565,0.151,0.0155,115,1.80966830182971
"116","TAZ",1.423,0.0774,2.153,0.569,0.153,0.0163,116,1.78781239559604
"117","HEXIM1",2.331,0.00989,1.86,0.561,0.154,0.0164,117,1.7851561519523
"118","JUNB",1.593,0.0556,1.703,0.591,0.154,0.0165,118,1.78251605578609
"119","ERCC6",1.154,0.124,1.964,0.598,0.156,0.0171,119,1.76700388960785
"120","NANOG",2.948,0.0016,1.813,0.553,0.156,0.0172,120,1.76447155309245
"121","ZNF781",1.347,0.089,2.822,0.545,0.156,0.0172,121,1.76447155309245
"122","ZNF92",1.311,0.095,2.405,0.558,0.157,0.0174,122,1.7594507517174
"123","BACH1",1.846,0.0324,2.195,0.549,0.158,0.0178,123,1.74957999769111
"124","CBX3",1.171,0.121,2.483,0.561,0.161,0.0187,124,1.7281583934635
"125","KDM3B",1.836,0.0332,1.749,0.572,0.163,0.0196,125,1.70774392864352
"126","RELA",3.229,0.000622,0.613,0.685,0.165,0.0201,126,1.69680394257951
"127","POU5F1",3.754,8.68e-05,1.722,0.547,0.168,0.0212,127,1.67366413907125
"128","ZNF16",1.135,0.128,2.337,0.567,0.168,0.0212,128,1.67366413907125
"129","RUNX2",1.031,0.151,2.15,0.583,0.168,0.0212,129,1.67366413907125
"130","RCOR1",1.053,0.146,1.991,0.594,0.168,0.0213,130,1.67162039656126
"131","ERCC2",1.116,0.132,3.862,0.546,0.168,0.0213,131,1.67162039656126
"132","BATF",2.129,0.0166,1.744,0.559,0.169,0.0217,132,1.66354026615147
"133","ZNF654",1.903,0.0285,1.772,0.561,0.171,0.0225,133,1.64781748188864
"134","DNMT3A",1.577,0.0574,1.83,0.567,0.171,0.0227,134,1.64397414280688
"135","CREBBP",1.108,0.134,1.49,0.653,0.175,0.0243,135,1.61439372640169
"136","ZNF837",1.373,0.0849,2.082,0.553,0.177,0.0247,136,1.60730304674033
"137","SMAD2",1.646,0.0499,1.852,0.556,0.177,0.0249,137,1.60380065290426
"138","CNOT3",1.958,0.0251,1.442,0.573,0.177,0.0251,138,1.60032627851896
"139","MAFK",1.243,0.107,1.856,0.574,0.179,0.0257,139,1.59006687666871
"140","CBX2",1.442,0.0746,1.668,0.571,0.182,0.0271,140,1.56703070912559
