"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","ESR1",9.844,3.63e-23,1.861,0.733,0.031,0.000133,1,3.87614835903291
"2","MBD2",3.166,0.000774,2.074,0.721,0.04,0.000294,2,3.53165266958784
"3","HDAC2",3.558,0.000187,2.201,0.709,0.042,0.000335,3,3.47495519296315
"4","ZNF143",4.856,5.99e-07,1.831,0.716,0.044,0.000389,4,3.41005039867429
"5","DROSHA",2.412,0.00794,2.055,0.738,0.047,0.00047,5,3.32790214206428
"6","KDM5B",3.035,0.0012,1.964,0.718,0.048,0.000492,6,3.30803489723264
"7","ZNF687",2.395,0.00831,2.258,0.718,0.049,0.000526,7,3.27901425584626
"8","GREB1",2.987,0.00141,2.565,0.703,0.05,0.000561,8,3.25103713874384
"9","TFDP1",3.461,0.000269,1.482,0.739,0.052,0.000651,9,3.18641901143181
"10","ASCL1",3.3,0.000483,2.031,0.707,0.055,0.000734,10,3.13430394008393
"11","ZNF592",2.27,0.0116,2.87,0.708,0.055,0.000749,11,3.12551818230053
"12","RAC3",1.713,0.0434,2.596,0.725,0.062,0.00106,12,2.97469413473523
"13","TET2",2.535,0.00563,1.82,0.714,0.066,0.00128,13,2.89279003035213
"14","NCAPG",2.491,0.00638,3.014,0.694,0.067,0.00132,14,2.87942606879415
"15","E2F6",3.474,0.000256,1.887,0.694,0.073,0.00175,15,2.75696195131371
"16","WDHD1",2.214,0.0134,2.623,0.695,0.074,0.0018,16,2.74472749489669
"17","SP1",3.754,8.68e-05,1.386,0.707,0.075,0.00188,17,2.72584215073632
"18","POLR3D",3.702,0.000107,2.444,0.682,0.076,0.00196,18,2.70774392864352
"19","SUZ12",4.215,1.25e-05,1.098,0.723,0.077,0.00205,19,2.68824613894425
"20","CTCFL",3.179,0.000738,2.027,0.688,0.083,0.00261,20,2.58335949266172
"21","ZBTB48",4.558,2.58e-06,2.366,0.676,0.088,0.00307,21,2.51286162452281
"22","CBX1",2.356,0.00923,3.03,0.684,0.089,0.00319,22,2.49620931694282
"23","PRDM2",2.165,0.0152,2.159,0.693,0.09,0.00323,23,2.4907974776689
"24","SAP30",3.644,0.000134,0.879,0.751,0.091,0.00335,24,2.47495519296315
"25","NRF1",7.304,1.39e-13,0.879,0.729,0.091,0.00343,25,2.46470587995723
"26","NKRF",2.185,0.0144,1.287,0.718,0.092,0.00347,26,2.45967052520913
"27","SON",1.658,0.0486,2.106,0.709,0.092,0.00351,27,2.45469288353418
"28","E2F1",9.648,2.5e-22,0.765,0.752,0.095,0.00389,28,2.41005039867429
"29","FOXM1",3.155,0.000802,1.069,0.713,0.096,0.00393,29,2.40560744962457
"30","TRIM25",2.643,0.00411,2.425,0.678,0.097,0.00412,30,2.38510278396687
"31","EMX1",2.573,0.00504,1.871,0.688,0.097,0.00412,31,2.38510278396687
"32","ZBTB7A",5.005,2.79e-07,1.44,0.686,0.101,0.00459,32,2.33818731446274
"33","KDM4A",2.534,0.00564,1.939,0.686,0.101,0.00464,33,2.33348201944512
"34","HCFC1",3.434,0.000298,0.931,0.714,0.102,0.00474,34,2.32422165832591
"35","GTF2I",2.052,0.0201,1.324,0.71,0.102,0.00484,35,2.31515463835559
"36","ZNF76",2.404,0.00811,1.542,0.694,0.102,0.00484,36,2.31515463835559
"37","RARG",2.277,0.0114,1.878,0.686,0.107,0.00548,37,2.26121944151563
"38","HDAC1",3.242,0.000593,0.783,0.737,0.107,0.00559,38,2.25258819211358
"39","EZH2",4.349,6.85e-06,0.767,0.72,0.109,0.00587,39,2.23136189875239
"40","ZMYND8",1.99,0.0233,1.087,0.725,0.109,0.00587,40,2.23136189875239
"41","MYC",8.312,4.69e-17,0.649,0.753,0.11,0.00599,41,2.22257317761069
"42","KDM5A",3.446,0.000284,0.725,0.74,0.111,0.00611,42,2.21395878975745
"43","MAX",2.686,0.00362,0.8,0.749,0.111,0.00611,43,2.21395878975745
"44","LARP7",1.818,0.0345,3.184,0.681,0.111,0.00623,44,2.20551195334083
"45","NFYA",3.115,0.000921,0.994,0.703,0.112,0.00635,45,2.19722627470802
"46","ZEB1",1.726,0.0422,1.134,0.733,0.113,0.00641,46,2.19314197048118
"47","NR2C2",3.398,0.00034,0.941,0.704,0.113,0.00647,47,2.1890957193313
"48","RYBP",2.248,0.0123,0.996,0.717,0.113,0.00647,48,2.1890957193313
"49","NELFE",5.413,3.1e-08,0.663,0.735,0.114,0.00666,49,2.1765257708297
"50","ZBTB11",3.147,0.000825,0.84,0.718,0.114,0.00672,50,2.17263072694617
"51","HCFC1R1",1.541,0.0616,2.391,0.691,0.115,0.00691,51,2.1605219526258
"52","ZMYM3",1.662,0.0482,1.229,0.714,0.123,0.00844,52,2.07365755337434
"53","KDM3A",2.161,0.0154,1.156,0.698,0.126,0.00904,53,2.04383156952464
"54","RBBP5",3.53,0.000208,0.821,0.701,0.128,0.00935,54,2.02918838912748
"55","MEN1",2.042,0.0206,1.35,0.691,0.128,0.00935,55,2.02918838912748
"56","KLF1",2.285,0.0112,1.444,0.684,0.129,0.00959,56,2.01818139282934
"57","THAP11",1.656,0.0489,1.271,0.709,0.129,0.00967,57,2.014573525917
"58","GTF3C5",1.771,0.0383,1.343,0.695,0.13,0.00983,58,2.00744648216786
"59","SETDB1",1.861,0.0314,2.287,0.675,0.13,0.01,59,2
"60","TAFII",2.417,0.00782,0.732,0.725,0.132,0.0103,60,1.98716277529483
"61","AGO1",2.119,0.017,3.192,0.668,0.132,0.0104,61,1.98296666070122
"62","TRIM24",1.672,0.0473,2.397,0.677,0.133,0.0105,62,1.97881070093006
"63","SETX",1.519,0.0644,2.014,0.689,0.134,0.0108,63,1.96657624451305
"64","CSDE1",1.87,0.0307,1.82,0.681,0.134,0.0108,64,1.96657624451305
"65","ATOH1",1.706,0.0441,0.959,0.721,0.134,0.0108,65,1.96657624451305
"66","HLTF",1.873,0.0305,2.101,0.676,0.134,0.0109,66,1.96257350205938
"67","RBL2",3.584,0.000169,0.742,0.7,0.135,0.0111,67,1.95467702121334
"68","SIX5",2.735,0.00312,0.738,0.711,0.136,0.0114,68,1.94309514866353
"69","KLF10",2.044,0.0205,0.88,0.713,0.136,0.0114,69,1.94309514866353
"70","SREBF1",1.847,0.0324,1.073,0.701,0.137,0.0115,70,1.93930215964639
"71","KLF9",2.95,0.00159,0.82,0.7,0.137,0.0117,71,1.93181413825384
"72","SP2",2.89,0.00193,0.871,0.697,0.138,0.0118,72,1.92811799269387
"73","GATAD2B",1.436,0.0756,2.254,0.685,0.138,0.0119,73,1.92445303860747
"74","JMJD6",2.548,0.00542,0.792,0.706,0.138,0.0119,74,1.92445303860747
"75","ZNF263",2.219,0.0132,1.511,0.677,0.14,0.0123,75,1.9100948885606
"76","E2F4",3.049,0.00115,0.555,0.739,0.141,0.0127,76,1.89619627904404
"77","GTF3C2",1.323,0.0929,1.488,0.707,0.142,0.0128,77,1.89279003035213
"78","USF2",1.907,0.0283,1.509,0.682,0.142,0.0129,78,1.88941028970075
"79","KLF13",2.093,0.0182,1.19,0.688,0.142,0.013,79,1.88605664769316
"80","APOBEC3B",1.435,0.0757,2.308,0.682,0.142,0.013,80,1.88605664769316
