"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","AR",23.286,3.07e-120,3.373,0.84,0.005,4.59e-07,1,6.33818731446274
"2","PIAS1",6.384,8.6e-11,3.46,0.769,0.008,1.94e-06,2,5.71219827006977
"3","FOXA1",18.449,2.65e-76,3.192,0.807,0.01,4.59e-06,3,5.33818731446274
"4","HOXB13",6.055,7.03e-10,3.164,0.772,0.014,1.34e-05,4,4.87289520163519
"5","SUMO2",4.791,8.3e-07,4.02,0.679,0.016,1.91e-05,5,4.71896663275227
"6","TLE3",3.674,0.000119,3.391,0.742,0.017,2.17e-05,6,4.66354026615147
"7","NKX3-1",2.334,0.0098,3.361,0.757,0.023,5.48e-05,7,4.26121944151563
"8","ERF",2.522,0.00583,3.443,0.654,0.028,9.54e-05,8,4.02045162529591
"9","ARID1A",2.377,0.00872,3.043,0.783,0.029,0.000107,9,3.97061622231479
"10","NANOG",5.848,2.49e-09,2.69,0.683,0.03,0.000124,10,3.90657831483776
"11","ARRB1",2.2,0.0139,3.449,0.644,0.032,0.000147,11,3.83268266525182
"12","ESR1",18.724,1.57e-78,2.593,0.656,0.032,0.000152,12,3.81815641205523
"13","REST",7.26,1.93e-13,2.865,0.638,0.033,0.000163,13,3.78781239559604
"14","GATA3",6.873,3.15e-12,2.678,0.642,0.035,0.000191,14,3.71896663275227
"15","YBX1",2.968,0.0015,3.255,0.608,0.039,0.000271,15,3.56703070912559
"16","ZNF649",1.591,0.0558,4.279,0.653,0.04,0.000286,16,3.54363396687096
"17","BRDU",3.744,9.07e-05,3.11,0.602,0.042,0.000335,17,3.47495519296315
"18","HDAC3",1.794,0.0364,2.885,0.747,0.042,0.000335,18,3.47495519296315
"19","ASCL1",4.863,5.78e-07,2.537,0.632,0.045,0.000408,19,3.38933983691012
"20","HNF4G",2.921,0.00175,2.469,0.705,0.045,0.000408,20,3.38933983691012
"21","SIRT1",2.725,0.00321,2.659,0.645,0.045,0.000408,21,3.38933983691012
"22","ASH2L",2.173,0.0149,3.025,0.629,0.047,0.000459,22,3.33818731446274
"23","ZNF207",1.987,0.0235,3.356,0.603,0.047,0.000481,23,3.31785492362617
"24","POLR3D",4.558,2.58e-06,2.784,0.6,0.049,0.000538,24,3.26921772433361
"25","GRHL2",3.746,8.98e-05,2.249,0.716,0.051,0.000611,25,3.21395878975745
"26","PR",5.246,7.79e-08,2.521,0.602,0.052,0.000624,26,3.20481541031758
"27","CRY1",1.535,0.0624,3.357,0.625,0.054,0.000692,27,3.15989390554324
"28","GATA2",3.286,0.000507,2.185,0.743,0.054,0.00072,28,3.14266750356873
"29","PLRG1",2.014,0.022,3.309,0.586,0.056,0.000794,29,3.1001794975729
"30","TRIM28",3.32,0.00045,3.232,0.569,0.057,0.000825,30,3.08354605145007
"31","SSRP1",1.942,0.0261,3.11,0.597,0.058,0.000856,31,3.06752623532285
"32","ZTA",1.987,0.0235,3.07,0.594,0.059,0.000939,32,3.02733440773389
"33","TOP1",2.758,0.00291,2.422,0.631,0.06,0.000956,33,3.0195421077239
"34","AHR",1.988,0.0234,2.765,0.599,0.063,0.0011,34,2.95860731484178
"35","NR5A2",1.656,0.0488,2.632,0.63,0.063,0.0011,35,2.95860731484178
"36","POU5F1",5.364,4.06e-08,2.183,0.625,0.064,0.00116,36,2.93554201077308
"37","GATA6",3.66,0.000126,2.558,0.58,0.065,0.00126,37,2.89962945488244
"38","SOX2",3.189,0.000715,2.068,0.663,0.067,0.00132,38,2.87942606879415
"39","GREB1",2.96,0.00154,2.551,0.584,0.067,0.00135,39,2.86966623150499
"40","TCF4",2.837,0.00228,2.428,0.598,0.069,0.00146,40,2.83564714421556
"41","SMAD2",2.563,0.00519,2.42,0.6,0.069,0.00148,41,2.82973828460504
"42","SFPQ",1.427,0.0767,3.395,0.582,0.071,0.0016,42,2.79588001734407
"43","ZNF354C",1.429,0.0765,3.296,0.582,0.073,0.00178,43,2.74957999769111
"44","FOXK1",1.308,0.0954,3.214,0.599,0.073,0.00178,44,2.74957999769111
"45","H2AFX",1.45,0.0736,2.921,0.591,0.077,0.00208,45,2.68193666503724
"46","RAD21",8.187,1.33e-16,1.91,0.606,0.08,0.00229,46,2.64016451766011
"47","FOXA2",3.422,0.000311,1.983,0.619,0.08,0.00232,47,2.6345120151091
"48","CTCF",23.343,8.03e-121,1.818,0.615,0.081,0.00241,48,2.61798295742513
"49","EOMES",2.351,0.00936,2.462,0.57,0.081,0.00241,49,2.61798295742513
"50","SMC3",5.906,1.75e-09,1.669,0.665,0.083,0.00254,50,2.59516628338006
"51","SMARCA5",1.408,0.0795,2.431,0.629,0.083,0.00254,51,2.59516628338006
"52","BAHD1",1.755,0.0396,3.038,0.557,0.083,0.00261,52,2.58335949266172
"53","EZH2",7.935,1.05e-15,1.442,0.794,0.084,0.00268,53,2.57186520597121
"54","LARP7",1.368,0.0857,2.653,0.594,0.084,0.00271,54,2.56703070912559
"55","EHMT2",2.072,0.0191,2.635,0.559,0.085,0.00275,55,2.56066730616974
"56","TSC22D4",1.513,0.0652,2.431,0.6,0.085,0.00278,56,2.55595520408192
"57","NCAPG",1.913,0.0279,2.486,0.57,0.086,0.00289,57,2.53910215724345
