"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","TP63",9.537,7.34e-22,2.633,0.765,0.014,1.24e-05,1,4.90657831483777
"2","GRHL2",6.306,1.43e-10,3.105,0.595,0.014,1.34e-05,2,4.87289520163519
"3","TP73",3.389,0.00035,3.24,0.642,0.017,2.04e-05,3,4.6903698325741
"4","TP53",6.799,5.25e-12,2.47,0.701,0.024,6.29e-05,4,4.20134935455473
"5","ASCL1",5.08,1.88e-07,2.607,0.597,0.027,8.47e-05,5,4.07211658966929
"6","SNAI2",5.258,7.29e-08,2.802,0.57,0.029,0.000111,6,3.95467702121334
"7","JUND",4.036,2.72e-05,2.636,0.586,0.031,0.000128,7,3.89279003035213
"8","BANF1",2.946,0.00161,2.543,0.637,0.034,0.000179,8,3.74714696902011
"9","ARID1A",2.911,0.0018,3.523,0.565,0.034,0.000179,9,3.74714696902011
"10","NFE2L1",3.151,0.000814,3.083,0.565,0.036,0.000203,10,3.69250396208679
"11","RNF2",3.834,6.3e-05,2.449,0.593,0.04,0.000278,11,3.55595520408192
"12","PRMT1",2.392,0.00838,2.602,0.614,0.041,0.00031,12,3.50863830616573
"13","SMAD3",4.861,5.84e-07,2.59,0.555,0.044,0.000389,13,3.41005039867429
"14","SOX2",3.727,9.71e-05,2.256,0.643,0.045,0.000399,14,3.39902710431325
"15","CDX2",2.474,0.00668,2.772,0.551,0.053,0.000664,15,3.17783192063198
"16","AHR",2.452,0.00711,3.136,0.541,0.053,0.000664,16,3.17783192063198
"17","HOXB13",4.377,6.02e-06,2.629,0.538,0.055,0.000749,17,3.12551818230053
"18","DNMT3A",2.137,0.0163,2.522,0.583,0.055,0.000749,18,3.12551818230053
"19","ZBTB48",4.776,8.96e-07,2.465,0.542,0.056,0.000778,19,3.10902040301031
"20","KLF4",2.583,0.0049,2.405,0.58,0.056,0.000809,20,3.09205147838773
"21","SIRT1",2.566,0.00514,2.571,0.551,0.058,0.000856,21,3.06752623532285
"22","TEAD4",3.422,0.00031,2.351,0.562,0.058,0.000872,22,3.05948351506743
"23","ZNF750",1.657,0.0487,3.278,0.566,0.059,0.000922,23,3.03526907894637
"24","FOSL1",3.609,0.000154,2.267,0.568,0.059,0.000922,24,3.03526907894637
"25","POLR3D",4.018,2.93e-05,2.569,0.535,0.06,0.000991,25,3.00392634551472
"26","GREB1",3.186,0.000722,2.669,0.533,0.062,0.00106,26,2.97469413473523
"27","FOSL2",9.529,7.95e-22,1.907,0.587,0.062,0.00108,27,2.96657624451305
"28","LHX2",1.985,0.0236,3.089,0.54,0.064,0.00118,28,2.92811799269387
"29","TET2",3.204,0.000678,2.226,0.546,0.072,0.0017,29,2.76955107862173
"30","BACH1",2.026,0.0214,2.394,0.558,0.075,0.00194,30,2.71219827006977
"31","TFAP2C",3.059,0.00111,2.433,0.531,0.077,0.00202,31,2.69464863055338
"32","ESR1",12.856,3.97e-38,2.109,0.535,0.077,0.00208,32,2.68193666503724
"33","POU5F1",5.669,7.2e-09,2.27,0.529,0.077,0.00208,33,2.68193666503724
"34","GLIS1",2.592,0.00476,2.805,0.524,0.078,0.00214,34,2.66958622665081
"35","NANOG",4.687,1.38e-06,2.339,0.528,0.079,0.0022,35,2.65757731917779
"36","NR1H2",2.912,0.0018,2.431,0.53,0.079,0.00223,36,2.65169513695184
"37","KMT2B",1.662,0.0483,2.416,0.569,0.08,0.00232,37,2.6345120151091
"38","SMC3",6.159,3.66e-10,1.737,0.562,0.081,0.00241,38,2.61798295742513
"39","SMAD2-SMAD3",2.099,0.0179,1.937,0.599,0.082,0.00245,39,2.61083391563547
"40","SMC1A",6.148,3.93e-10,1.8,0.56,0.082,0.00248,40,2.60554831917378
"41","SP140",2.253,0.0121,2.191,0.559,0.083,0.00254,41,2.59516628338006
"42","CTCF",20.468,2.08e-93,1.623,0.584,0.083,0.00261,42,2.58335949266172
"43","EZH2",8.087,3.06e-16,1.471,0.715,0.083,0.00261,43,2.58335949266172
"44","ZNF217",1.572,0.058,2.975,0.536,0.084,0.00271,44,2.56703070912559
"45","OTX2",3.786,7.64e-05,2.151,0.534,0.085,0.00275,45,2.56066730616974
"46","MAFK",1.941,0.0261,2.459,0.535,0.088,0.00307,46,2.51286162452281
"47","ZEB1",2.333,0.00983,1.895,0.574,0.089,0.00319,47,2.49620931694282
"48","RAD21",7.135,4.83e-13,1.707,0.55,0.09,0.00331,48,2.48017200622428
"49","GATA3",4.34,7.13e-06,2.162,0.527,0.091,0.00335,49,2.47495519296315
"50","SUMO1",5.023,2.54e-07,2.036,0.53,0.091,0.00339,50,2.46980030179692
"51","DLX2",1.622,0.0524,2.409,0.55,0.091,0.00339,51,2.46980030179692
"52","KDM4A",2.677,0.00372,2.086,0.537,0.092,0.00347,52,2.45967052520913
"53","ATF4",2.196,0.0141,2.479,0.524,0.093,0.00363,53,2.44009337496389
"54","ZNF512",2.022,0.0216,2.447,0.528,0.094,0.00376,54,2.42481215507234
"55","HCFC1R1",1.594,0.0555,2.449,0.54,0.096,0.00393,55,2.40560744962457
"56","SUZ12",4.89,5.03e-07,1.335,0.721,0.096,0.00398,56,2.40011692792631
"57","FOS",2.401,0.00818,1.721,0.577,0.096,0.00402,57,2.39577394691553
"58","TFAP2A",2.61,0.00453,1.982,0.538,0.097,0.00416,58,2.38090666937326
"59","TEAD1",2.733,0.00314,2.061,0.532,0.097,0.00416,59,2.38090666937326
"60","ICE1",1.964,0.0248,2.948,0.518,0.098,0.00425,60,2.37161106994969
"61","BMI1",2.33,0.00991,1.931,0.545,0.1,0.00444,61,2.35261702988538
"62","DAXX",1.974,0.0242,2.562,0.522,0.101,0.00469,62,2.32882715728492
"63","LIN9",1.566,0.0587,2.465,0.535,0.101,0.00469,63,2.32882715728492
"64","NFE2L2",2.403,0.00813,1.706,0.568,0.102,0.00479,64,2.31966448658544
"65","JARID2",5.335,4.78e-08,1.276,0.63,0.102,0.00479,65,2.31966448658544
"66","ZBTB17",1.874,0.0305,2.954,0.517,0.102,0.00484,66,2.31515463835559
"67","NR1H3",2.627,0.00431,2.403,0.518,0.103,0.00489,67,2.31069114087638
"68","SRC",1.702,0.0444,2.969,0.518,0.105,0.00526,68,2.27901425584626
"69","KDM3B",2.131,0.0165,2.111,0.531,0.105,0.00526,69,2.27901425584626
"70","JUN",3.678,0.000117,1.45,0.583,0.106,0.00531,70,2.27490547891853
"71","CDCA2",1.512,0.0653,2.512,0.527,0.109,0.00587,71,2.23136189875239
"72","TCF4",1.708,0.0439,1.864,0.561,0.112,0.00635,72,2.19722627470802
"73","TOP1",2.434,0.00748,2.143,0.523,0.114,0.0066,73,2.18045606445813
"74","DPF2",1.229,0.11,2.481,0.542,0.114,0.0066,74,2.18045606445813
"75","NUP98-HOXA9",1.549,0.0607,2.322,0.532,0.114,0.00672,75,2.17263072694617
"76","FOXA1",5.353,4.33e-08,1.756,0.523,0.116,0.00698,76,2.15614457737684
"77","GTF2I",3.394,0.000344,1.871,0.524,0.116,0.00698,77,2.15614457737684
"78","ZNF2",2.036,0.0209,2.374,0.516,0.118,0.00731,78,2.13608262304214
"79","SMARCA2",1.735,0.0414,2.373,0.522,0.119,0.00758,79,2.12033079436795
"80","SMARCC1",2.246,0.0124,1.338,0.598,0.119,0.00765,80,2.11633856484638
"81","SON",1.592,0.0557,2.025,0.54,0.119,0.00765,81,2.11633856484638
"82","HIC1",1.761,0.0391,2.483,0.514,0.124,0.00851,82,2.07007043991541
"83","SRF",2.471,0.00673,1.604,0.54,0.124,0.00858,83,2.06651271215129
"84","MECOM",1.489,0.0682,2.383,0.524,0.124,0.00858,84,2.06651271215129
"85","ZNF362",1.646,0.0499,3.112,0.51,0.125,0.00881,85,2.05502409158795
"86","E2F2",1.509,0.0657,2.25,0.526,0.125,0.00881,86,2.05502409158795
"87","GRHL1",1.551,0.0604,2.081,0.532,0.125,0.00889,87,2.05109823902979
"88","SP7",1.735,0.0414,2.61,0.511,0.127,0.0092,88,2.03621217265444
"89","MAX",3.199,0.000691,1.26,0.555,0.13,0.01,89,2
"90","H2AFX",1.149,0.125,2.616,0.526,0.131,0.0102,90,1.99139982823808
"91","ZFAT",1.474,0.0703,2.322,0.523,0.132,0.0103,91,1.98716277529483
"92","RING1",1.402,0.0804,1.936,0.541,0.132,0.0104,92,1.98296666070122
"93","ZNF366",1.621,0.0525,2.936,0.51,0.132,0.0104,93,1.98296666070122
"94","CTCFL",2.814,0.00244,1.713,0.522,0.133,0.0107,94,1.97061622231479
"95","ATF7IP",0.865,0.194,3.088,0.531,0.136,0.0112,95,1.95078197732982
"96","SMARCB1",1.986,0.0235,1.563,0.539,0.137,0.0117,96,1.93181413825384
"97","RYBP",2.329,0.00992,1.081,0.588,0.137,0.0117,97,1.93181413825384
"98","TLE3",2.103,0.0177,2.511,0.505,0.138,0.0119,98,1.92445303860747
"99","MBD3",2.21,0.0136,1.632,0.527,0.14,0.0123,99,1.9100948885606
"100","PGBD3",1.524,0.0638,1.906,0.528,0.141,0.0126,100,1.89962945488244
"101","ICE2",1.418,0.0781,2.317,0.519,0.141,0.0126,101,1.89962945488244
"102","FOXM1",2.923,0.00173,0.971,0.572,0.141,0.0127,102,1.89619627904404
"103","JMJD6",2.639,0.00416,0.864,0.595,0.142,0.013,103,1.88605664769316
"104","CTNNB1",1.426,0.077,2.234,0.52,0.143,0.0131,104,1.88272870434424
"105","EPAS1",1.487,0.0685,2.007,0.524,0.144,0.0134,105,1.87289520163519
"106","TERC",2.277,0.0114,2.195,0.509,0.144,0.0134,106,1.87289520163519
"107","MAFG",1.555,0.06,2.665,0.508,0.144,0.0135,107,1.86966623150499
"108","TSHZ1",1.494,0.0676,2.826,0.507,0.145,0.0137,108,1.86327943284359
"109","GTF3C2",1.657,0.0487,2.084,0.516,0.148,0.0145,109,1.83863199776503
"110","RCOR1",0.982,0.163,1.878,0.585,0.148,0.0147,110,1.83268266525182
"111","ZXDC",1.262,0.103,2.745,0.512,0.148,0.0147,111,1.83268266525182
"112","HAND2",1.297,0.0973,2.543,0.513,0.15,0.0151,112,1.82102305270683
"113","RXRA",2.518,0.0059,1.575,0.521,0.151,0.0155,113,1.80966830182971
"114","HIF1A",1.136,0.128,2.885,0.514,0.151,0.0155,114,1.80966830182971
"115","GTF3C5",1.985,0.0236,1.691,0.521,0.151,0.0156,115,1.80687540164554
"116","GRHL3",2.012,0.0221,1.956,0.511,0.152,0.0158,116,1.80134291304558
"117","CLOCK",1.342,0.0898,3.588,0.505,0.153,0.0162,117,1.79048498545737
"118","CNOT3",2.069,0.0193,1.541,0.524,0.154,0.0164,118,1.7851561519523
"119","KLF17",1.874,0.0305,1.853,0.516,0.154,0.0165,119,1.78251605578609
"120","ZNF558",1.422,0.0775,2.697,0.506,0.155,0.0166,120,1.77989191195995
"121","KLF5",1.723,0.0424,1.128,0.567,0.156,0.0171,121,1.76700388960785
"122","ZNF438",1.418,0.0781,2.78,0.505,0.156,0.0171,122,1.76700388960785
"123","TRIM25",1.914,0.0278,1.569,0.524,0.157,0.0173,123,1.7619538968712
"124","ZNF554",1.166,0.122,3.149,0.509,0.157,0.0174,124,1.7594507517174
"125","SMAD2",1.833,0.0334,1.968,0.511,0.157,0.0176,125,1.75448733218585
"126","ZNF654",1.853,0.0319,1.727,0.516,0.159,0.0182,126,1.73992861201493
"127","WT1",1.557,0.0597,2.278,0.509,0.16,0.0183,127,1.73754891026957
"128","CBX2",1.483,0.0691,1.727,0.524,0.16,0.0184,128,1.73518217699046
"129","CAMTA2",1.333,0.0913,2.228,0.515,0.161,0.0187,129,1.7281583934635
"130","IKZF2",1.665,0.048,2.045,0.51,0.162,0.0192,130,1.71669877129645
"131","NR5A2",1.315,0.0943,2.317,0.512,0.163,0.0194,131,1.71219827006977
"132","DROSHA",1.758,0.0394,1.134,0.541,0.167,0.0209,132,1.67985371388895
"133","EOMES",1.707,0.0439,2.065,0.508,0.167,0.021,133,1.67778070526608
"134","ZNF284",1.1,0.136,2.982,0.506,0.171,0.0224,134,1.64975198166584
"135","KDM5B",2.389,0.00844,1.293,0.521,0.171,0.0227,135,1.64397414280688
"136","ZNF701",1.203,0.114,2.421,0.51,0.173,0.0231,136,1.63638802010786
"137","DACOR1",1.109,0.134,2.799,0.507,0.174,0.0236,137,1.62708799702989
"138","FOXA2",1.963,0.0249,1.519,0.515,0.176,0.0244,138,1.61261017366127
"139","POLR3A",1.017,0.155,1.646,0.544,0.177,0.0247,139,1.60730304674033
"140","BCAT1",1.432,0.0761,2.361,0.504,0.177,0.0249,140,1.60380065290426
"141","OSR2",1.583,0.0567,2.372,0.502,0.178,0.0255,141,1.59345981956604
"142","DMC1",1.133,0.129,2.474,0.508,0.181,0.0266,142,1.57511836336893
"143","PHIP",3.295,0.000492,0.489,0.546,0.184,0.0279,143,1.5543957967264
"144","ZEB2",1.705,0.0441,1.831,0.507,0.184,0.0281,144,1.55129368009492
"145","MAFF",1.138,0.128,2.431,0.507,0.185,0.0284,145,1.54668165995296
"146","ZBTB6",1.732,0.0416,1.817,0.506,0.186,0.0289,146,1.53910215724345
"147","CBX4",1.476,0.07,1.391,0.523,0.186,0.0291,147,1.53610701101409
"148","SCRT2",1.295,0.0977,2.634,0.5,0.187,0.0292,148,1.53461714855158
"149","RB1",1.982,0.0237,0.518,0.57,0.188,0.0299,149,1.52432881167557
"150","TRIM28",0.767,0.222,1.944,0.53,0.188,0.0299,150,1.52432881167557
"151","LARP7",1.024,0.153,2.248,0.512,0.188,0.0299,151,1.52432881167557
"152","SSU72",1.273,0.101,1.897,0.512,0.188,0.0301,152,1.52143350440616
"153","CTBP1",1.409,0.0794,1.91,0.508,0.19,0.031,153,1.50863830616573
"154","ARNT",1.114,0.133,2.479,0.504,0.191,0.0315,154,1.5016894462104
"155","MYC",4.915,4.44e-07,0.012,0.561,0.195,0.0333,155,1.47755576649368
"156","EGR3",1.25,0.106,1.877,0.511,0.195,0.0333,156,1.47755576649368
"157","ZNF800",1.221,0.111,2.682,0.498,0.197,0.0342,157,1.46597389394386
"158","FOXH1",1.303,0.0963,2.076,0.505,0.197,0.0346,158,1.46092390120722
"159","ZFP2",1.495,0.0675,1.627,0.51,0.2,0.0359,159,1.44490555142168
"160","ZNF394",1.458,0.0724,1.88,0.504,0.2,0.0361,160,1.44249279809434
"161","GLIS2",1.915,0.0277,1.006,0.52,0.201,0.0363,161,1.44009337496389
"162","ZNF22",1.038,0.15,2.442,0.504,0.201,0.0365,162,1.43770713554353
"163","XCL1",1.36,0.0869,1.506,0.516,0.201,0.0367,163,1.43533393574791
"164","ZNF382",1.091,0.138,1.956,0.51,0.202,0.0371,164,1.43062609038495
"165","NME2",1.311,0.095,2.207,0.501,0.203,0.0379,165,1.42136079003193
"166","EP300",1.009,0.157,0.779,0.732,0.205,0.0389,166,1.41005039867429
"167","PRDM10",1.381,0.0837,2.065,0.501,0.205,0.0389,167,1.41005039867429
"168","HNF4A",1.381,0.0836,1.086,0.526,0.206,0.0393,168,1.40560744962457
"169","USF1",1.232,0.109,1.293,0.526,0.207,0.04,169,1.39794000867204
"170","ETV5",1.302,0.0964,1.645,0.511,0.207,0.04,170,1.39794000867204
"171","AGO1",1.329,0.092,2.192,0.5,0.207,0.0402,171,1.39577394691553
"172","SCRT1",1.284,0.0996,2.214,0.501,0.208,0.0408,172,1.38933983691012
"173","ZNF649",0.881,0.189,3.235,0.498,0.209,0.0412,173,1.38510278396687
"174","ZMYND8",1.935,0.0265,1.026,0.514,0.21,0.0416,174,1.38090666937326
"175","E2F6",1.935,0.0265,0.462,0.539,0.212,0.0429,175,1.36754270781528
"176","ZNF788",1.099,0.136,2.933,0.495,0.212,0.0429,176,1.36754270781528
"177","ZNF335",1.689,0.0456,1.3,0.51,0.212,0.0429,177,1.36754270781528
"178","NEUROD1",0.995,0.16,1.641,0.517,0.215,0.0447,178,1.34969247686806
"179","ATF3",1.044,0.148,0.946,0.549,0.217,0.0458,179,1.33913452199613
"180","DNMT1",1.065,0.144,1.554,0.516,0.217,0.0458,180,1.33913452199613
"181","REST",1.014,0.155,1.509,0.519,0.219,0.0472,181,1.32605800136591
"182","ZNF423",1.612,0.0535,1.309,0.509,0.219,0.0475,182,1.32330639037513
"183","PHOX2B",0.997,0.159,2.305,0.502,0.22,0.0482,183,1.31695296176115
