"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"70","TP53",3.906,4.7e-05,1.579,0.55,0.096,0.00402,70,2.39577394691553
"71","ZNF654",2.253,0.0121,2.091,0.502,0.097,0.00407,71,2.39040559077478
"72","CDK2",1.756,0.0396,2.813,0.479,0.098,0.0043,72,2.36653154442041
"73","RNF2",2.63,0.00427,1.615,0.589,0.099,0.0044,73,2.35654732351381
"74","POLR3D",2.838,0.00227,2.101,0.488,0.1,0.00444,74,2.35261702988538
"75","JARID2",5.421,2.96e-08,1.301,0.746,0.1,0.00454,75,2.3429441471429
"76","STAG1",6.468,4.96e-11,1.533,0.525,0.101,0.00464,76,2.33348201944512
"77","CHD5",1.571,0.0581,2.546,0.498,0.102,0.00484,77,2.31515463835559
"78","CHAT",1.829,0.0337,2.822,0.47,0.105,0.00515,78,2.28819277095881
"79","ZBTB2",1.97,0.0244,2.264,0.491,0.105,0.00526,79,2.27901425584626
"80","PDX1",1.754,0.0397,2.682,0.476,0.107,0.00548,80,2.26121944151563
"81","EED",1.575,0.0576,1.861,0.602,0.107,0.00559,81,2.25258819211358
"82","BMI1",1.972,0.0243,1.707,0.557,0.107,0.00559,82,2.25258819211358
"83","ASCL1",2.778,0.00274,1.862,0.505,0.109,0.00576,83,2.23957751657679
"84","TAL1",3.53,0.000208,2.032,0.479,0.11,0.00599,84,2.22257317761069
"85","HOXA9",1.851,0.0321,2.46,0.481,0.11,0.00599,85,2.22257317761069
"86","IRF5",1.407,0.0797,2.848,0.48,0.11,0.00599,86,2.22257317761069
"87","HLF",1.769,0.0385,2.782,0.466,0.11,0.00605,87,2.21824462534753
"88","MAFK",1.993,0.0231,2.503,0.472,0.111,0.00617,88,2.20971483596676
"89","TEAD1",2.813,0.00245,2.103,0.478,0.112,0.00635,89,2.19722627470802
"90","ZNF169",1.41,0.0793,2.739,0.48,0.113,0.00641,90,2.19314197048118
"91","TET2",2.213,0.0134,1.625,0.527,0.113,0.00653,91,2.18508681872493
"92","FOS",2.313,0.0104,1.675,0.514,0.115,0.00685,92,2.16430942850757
"93","GTF2I",3.267,0.000544,1.819,0.49,0.116,0.00711,93,2.14813039927023
"94","SOX10",1.459,0.0722,2.535,0.486,0.116,0.00711,94,2.14813039927023
"95","SNAI2",3.333,0.000429,1.856,0.482,0.119,0.00751,95,2.12436006299583
"96","TFAP2A",2.608,0.00455,1.981,0.482,0.12,0.00779,96,2.10846254232744
"97","CEBPG",2.093,0.0182,2.609,0.455,0.122,0.00807,97,2.09312646527793
"98","LMNA",1.642,0.0503,2.661,0.463,0.122,0.00822,98,2.08512818245995
