"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","AR",19.739,4.94e-87,3.054,0.631,0.008,2.23e-06,1,5.65169513695184
"2","HOXB13",6.348,1.09e-10,3.258,0.645,0.009,2.89e-06,2,5.53910215724345
"3","FOXA1",16.724,4.37e-63,3.002,0.624,0.01,4.59e-06,3,5.33818731446274
"4","PIAS1",5.766,4.06e-09,3.248,0.591,0.016,1.91e-05,4,4.71896663275227
"5","TLE3",3.589,0.000166,3.343,0.615,0.017,2.31e-05,5,4.63638802010786
"6","ESR1",18.925,3.56e-80,2.61,0.595,0.018,2.46e-05,6,4.60906489289662
"7","GRHL2",5.171,1.17e-07,2.726,0.614,0.018,2.77e-05,7,4.55752023093555
"8","RAD21",10.204,9.54e-25,2.299,0.649,0.02,3.87e-05,8,4.41228903498109
"9","ARID1A",2.537,0.0056,3.186,0.647,0.02,3.87e-05,9,4.41228903498109
"10","HNF1A",2.896,0.00189,2.583,0.673,0.022,4.52e-05,10,4.34486156518862
"11","HNF4G",3.476,0.000255,2.805,0.592,0.024,6.57e-05,11,4.18243463044022
"12","GATA3",7.216,2.68e-13,2.748,0.561,0.026,7.48e-05,12,4.12609840213554
"13","CTCF",28.648,8.46e-181,2.178,0.614,0.028,9.54e-05,13,4.02045162529591
"14","SMC3",7.47,4.01e-14,2.088,0.675,0.028,0.000103,14,3.98716277529483
"15","GATA6",4.127,1.84e-05,2.73,0.566,0.031,0.000133,15,3.87614835903291
"16","CDX2",2.611,0.00452,2.872,0.576,0.032,0.000152,16,3.81815641205523
"17","NKX3-1",2.135,0.0164,3.176,0.575,0.035,0.000197,17,3.70553377383841
"18","NANOG",4.624,1.89e-06,2.32,0.569,0.038,0.000242,18,3.61618463401957
"19","FOXA2",4.369,6.24e-06,2.285,0.573,0.038,0.000256,19,3.59176003468815
"20","PR",5.125,1.49e-07,2.488,0.546,0.039,0.000263,20,3.58004425151024
"21","SMC1A",6.756,7.07e-12,1.994,0.628,0.04,0.000294,21,3.53165266958784
"22","MAML3",2.818,0.00242,2.747,0.554,0.04,0.000294,22,3.53165266958784
"23","HNF4A",4.004,3.11e-05,2.113,0.598,0.041,0.00031,23,3.50863830616573
"24","TCF4",2.724,0.00323,2.371,0.577,0.042,0.000326,24,3.48678239993206
"25","GATA2",3.1,0.000967,2.127,0.599,0.042,0.000335,25,3.47495519296315
"26","NR5A2",1.755,0.0396,2.723,0.584,0.043,0.000361,26,3.44249279809434
"27","PDX1",1.939,0.0263,2.873,0.561,0.043,0.00037,27,3.43179827593301
"28","GREB1",2.86,0.00212,2.498,0.55,0.045,0.000399,28,3.39902710431325
"29","SIX2",2.948,0.0016,2.576,0.544,0.045,0.000418,29,3.37882371822496
"30","TOP1",2.748,0.00299,2.415,0.556,0.047,0.000481,30,3.31785492362617
"31","NUP98-HOXA9",1.667,0.0478,2.446,0.593,0.048,0.000492,31,3.30803489723264
"32","HNF1B",1.699,0.0446,2.247,0.622,0.048,0.000503,32,3.29843201494407
"33","ZNF654",2.341,0.00961,2.172,0.59,0.049,0.000526,33,3.27901425584626
"34","ASCL1",3.852,5.86e-05,2.209,0.556,0.05,0.000561,34,3.25103713874384
"35","OTX2",4.477,3.78e-06,2.374,0.537,0.051,0.000586,35,3.23210238398191
"36","GATA4",3.29,0.000502,2.442,0.538,0.052,0.000624,36,3.20481541031758
"37","PHOX2B",1.513,0.0651,2.904,0.561,0.052,0.000637,37,3.19586056766465
"38","SUMO2",2.061,0.0197,2.502,0.542,0.055,0.000764,38,3.11690664142431
"39","SOX2",2.983,0.00143,1.996,0.576,0.057,0.000825,39,3.08354605145007
"40","DLX2",1.594,0.0555,2.379,0.574,0.057,0.000825,40,3.08354605145007
"41","HOXC9",1.796,0.0363,2.723,0.538,0.06,0.000956,41,3.0195421077239
"42","ZBTB2",1.843,0.0327,2.145,0.568,0.061,0.00103,42,2.98716277529483
"43","SUMO1",4.733,1.11e-06,1.933,0.56,0.063,0.00114,43,2.94309514866353
"44","REST",4.064,2.41e-05,2.171,0.531,0.064,0.00116,44,2.93554201077308
"45","EZH2",8.421,1.86e-17,1.534,0.848,0.064,0.00118,45,2.92811799269387
"46","AHR",1.843,0.0327,2.649,0.531,0.064,0.0012,46,2.92081875395238
"47","NCAPG2",1.328,0.0921,2.473,0.542,0.072,0.00165,47,2.78251605578609
"48","ERF",1.661,0.0484,2.582,0.527,0.072,0.0017,48,2.76955107862173
"49","POLR3D",2.427,0.0076,1.938,0.559,0.073,0.00178,49,2.74957999769111
"50","HDAC3",1.235,0.109,2.281,0.559,0.074,0.0018,50,2.74472749489669
"51","BMI1",2.035,0.0209,1.747,0.591,0.078,0.00214,51,2.66958622665081
"52","ZNF217",1.226,0.11,2.549,0.532,0.079,0.00223,52,2.65169513695184
"53","TFAP2C",2.407,0.00804,2.036,0.529,0.08,0.00229,53,2.64016451766011
"54","H2AFX",1.004,0.158,2.469,0.559,0.08,0.00232,54,2.6345120151091
"55","KDM3B",1.89,0.0294,1.816,0.572,0.081,0.00238,55,2.62342304294349
"56","EBF3",1.68,0.0465,2.365,0.522,0.082,0.00245,56,2.61083391563547
"57","JARID2",5.422,2.95e-08,1.302,0.773,0.083,0.00258,57,2.58838029403677
"58","EOMES",1.989,0.0233,2.239,0.515,0.083,0.00261,58,2.58335949266172
"59","TFAP2A",2.694,0.00353,2.031,0.512,0.088,0.00311,59,2.50723961097316
"60","POU5F1",4.156,1.62e-05,1.837,0.526,0.089,0.00315,60,2.5016894462104
"61","SIX1",1.58,0.0571,2.416,0.507,0.091,0.00339,61,2.46980030179692
"62","HAND2",1.168,0.121,2.395,0.527,0.091,0.00343,62,2.46470587995723
"63","PAX6",0.894,0.186,2.471,0.542,0.092,0.00347,63,2.45967052520913
"64","STAG1",5.317,5.28e-08,1.223,0.631,0.093,0.00363,64,2.44009337496389
"65","TBX5",1.952,0.0255,2.219,0.503,0.093,0.00367,65,2.43533393574791
"66","ZFP57",1.654,0.0491,1.953,0.536,0.094,0.00372,66,2.4294570601181
"67","SRF",2.362,0.00909,1.485,0.588,0.094,0.00376,67,2.42481215507234
"68","ASH2L",1.414,0.0786,2.23,0.515,0.096,0.00402,68,2.39577394691553
"69","CHD5",1.214,0.112,2.073,0.531,0.099,0.00435,69,2.36151074304536
"70","SP140",1.725,0.0423,1.752,0.541,0.1,0.00444,70,2.35261702988538
"71","SUZ12",4.202,1.32e-05,1.093,0.809,0.1,0.00454,71,2.3429441471429
"72","ZFAT",1.207,0.114,2.021,0.53,0.103,0.00489,72,2.31069114087638
"73","TEAD4",1.912,0.0279,1.599,0.542,0.105,0.0052,73,2.2839966563652
"74","ARID3A",1.46,0.0722,1.808,0.535,0.105,0.00526,74,2.27901425584626
"75","RNF2",2.069,0.0193,1.227,0.622,0.107,0.00559,75,2.25258819211358
"76","SNAI2",3.074,0.00106,1.729,0.511,0.107,0.00559,76,2.25258819211358
"77","SRC",1.369,0.0856,2.454,0.492,0.108,0.00564,77,2.24872089601666
"78","DMC1",1.033,0.151,2.352,0.509,0.11,0.00599,78,2.22257317761069
"79","NCAPG",1.091,0.138,1.734,0.56,0.11,0.00605,79,2.21824462534753
"80","NR3C1",2.527,0.00575,1.226,0.583,0.111,0.00617,80,2.20971483596676
"81","CTNNB1",1.18,0.119,1.967,0.528,0.111,0.00617,81,2.20971483596676
"82","ARRB1",1.275,0.101,2.386,0.492,0.113,0.00641,82,2.19314197048118
"83","TP63",4.321,7.75e-06,1.563,0.504,0.118,0.00744,83,2.12842706445412
"84","TET2",1.83,0.0337,1.392,0.544,0.119,0.00758,84,2.12033079436795
"85","NEUROD1",1.361,0.0868,1.934,0.504,0.124,0.00851,85,2.07007043991541
"86","JMJD6",2.571,0.00507,0.811,0.648,0.125,0.00873,86,2.05898575629443
"87","CTCFL",2.071,0.0192,1.071,0.587,0.125,0.00881,87,2.05502409158795
"88","NFIA",1.076,0.141,1.987,0.508,0.125,0.00889,88,2.05109823902979
"89","SMAD3",1.682,0.0463,1.226,0.56,0.128,0.00935,89,2.02918838912748
"90","SCRT1",1.165,0.122,2.079,0.494,0.128,0.00951,90,2.02181948306259
"91","HOTAIR",1.547,0.0609,2.135,0.482,0.13,0.01,91,2
"92","FOXH1",1.217,0.112,1.998,0.495,0.13,0.01,92,2
"93","CBX2",1.304,0.0961,1.467,0.539,0.131,0.0101,93,1.99567862621736
"94","GTF2I",2.214,0.0134,1.39,0.517,0.132,0.0103,94,1.98716277529483
"95","TERC",1.723,0.0424,1.874,0.49,0.132,0.0104,95,1.98296666070122
"96","SMAD2",1.658,0.0487,1.86,0.492,0.133,0.0106,96,1.97469413473523
"97","CDK2",1.146,0.126,2.242,0.484,0.134,0.0108,97,1.96657624451305
"98","HLF",1.156,0.124,2.142,0.485,0.137,0.0115,98,1.93930215964639
"99","ZBTB48",2.183,0.0145,1.287,0.521,0.137,0.0117,99,1.93181413825384
"100","HHEX",1.221,0.111,1.968,0.492,0.137,0.0117,100,1.93181413825384
"101","SSU72",1.085,0.139,1.66,0.518,0.139,0.0121,101,1.91721462968355
"102","RYBP",2.02,0.0217,0.757,0.59,0.139,0.0122,102,1.91364016932525
"103","ATF4",1.432,0.0761,1.975,0.484,0.141,0.0126,103,1.89962945488244
"104","TCF7",0.803,0.211,1.795,0.528,0.142,0.013,104,1.88605664769316
"105","PAX3",0.899,0.184,2.047,0.492,0.146,0.0139,105,1.85698519974591
"106","NR2F6",1.075,0.141,1.626,0.51,0.147,0.0143,106,1.84466396253494
"107","GLIS1",1.553,0.0602,1.537,0.502,0.147,0.0144,107,1.84163750790475
"108","MYOG",1.058,0.145,1.986,0.488,0.148,0.0146,108,1.83564714421556
"109","ZIM3",1.049,0.147,2.041,0.483,0.149,0.0148,109,1.82973828460504
"110","GRHL3",1.421,0.0776,1.489,0.503,0.15,0.0153,110,1.8153085691824
"111","DRAP1",1.193,0.116,1.343,0.529,0.15,0.0153,111,1.8153085691824
"112","HCFC1R1",0.981,0.163,1.778,0.502,0.151,0.0154,112,1.81247927916354
"113","FANCD2",0.827,0.204,2.171,0.484,0.152,0.0158,113,1.80134291304558
"114","CREM",1.061,0.144,1.328,0.534,0.152,0.0159,114,1.79860287567955
"115","TRIM28",0.72,0.236,1.921,0.517,0.153,0.0161,115,1.79317412396815
"116","TFAP4",1.474,0.0702,1.946,0.476,0.154,0.0164,116,1.7851561519523
"117","ZNF2",1.254,0.105,1.217,0.53,0.156,0.0171,117,1.76700388960785
"118","NR1H3",1.56,0.0593,1.513,0.491,0.158,0.0177,118,1.75202673363819
"119","SOX11",0.783,0.217,2.111,0.486,0.158,0.0177,119,1.75202673363819
"120","EHMT2",0.979,0.164,1.952,0.486,0.159,0.0179,120,1.74714696902011
"121","NR2F2",1.445,0.0743,1.396,0.501,0.16,0.0183,121,1.73754891026957
"122","CDCA2",0.902,0.184,1.849,0.492,0.16,0.0183,122,1.73754891026957
"123","ZNF793",0.993,0.16,2.092,0.475,0.161,0.0189,123,1.72353819582676
"124","RING1",1.123,0.131,1.65,0.491,0.162,0.0191,124,1.71896663275227
"125","PRDM6",1.031,0.151,1.473,0.508,0.162,0.0191,125,1.71896663275227
"126","DUX4",1.025,0.153,1.982,0.477,0.164,0.0197,126,1.70553377383841
"127","MAFF",0.8,0.212,2.02,0.484,0.164,0.02,127,1.69897000433602
"128","NFIL3",0.954,0.17,1.634,0.499,0.166,0.0205,128,1.68824613894425
"129","NKX2-1",1.027,0.152,1.628,0.49,0.17,0.022,129,1.65757731917779
"130","NR2F1",0.893,0.186,1.514,0.503,0.172,0.023,130,1.63827216398241
"131","DPPA2",0.797,0.213,1.979,0.48,0.174,0.0236,131,1.62708799702989
"132","MAFK",0.89,0.187,1.551,0.5,0.174,0.0237,132,1.6252516539899
"133","PITX3",0.777,0.218,2.045,0.477,0.174,0.0239,133,1.62160209905186
"134","KDM4A",1.685,0.046,1.064,0.503,0.175,0.0243,134,1.61439372640169
"135","IRF5",0.771,0.221,2.079,0.477,0.176,0.0246,135,1.60906489289662
