"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"181","MAFK",0.768,0.221,1.446,0.476,0.216,0.0452,181,1.34486156518862
"182","NKX2-1",0.878,0.19,1.515,0.465,0.216,0.0454,182,1.3429441471429
"183","ZNF488",0.762,0.223,2.163,0.441,0.217,0.0463,183,1.33441900898205
"184","CTBP1",0.923,0.178,1.404,0.465,0.218,0.0465,184,1.33254704711005
"185","ZXDC",0.724,0.235,1.846,0.457,0.218,0.0468,185,1.32975414692588
"186","DPPA2",0.713,0.238,1.855,0.455,0.221,0.0486,186,1.31336373073771
"187","SOX13",0.915,0.18,1.291,0.469,0.222,0.0491,187,1.30891850787703
"188","GTF2I",1.377,0.0842,1.049,0.459,0.225,0.051,188,1.29242982390206
"189","CHD7",0.641,0.261,0.864,0.526,0.225,0.051,189,1.29242982390206
"190","ZNF823",0.654,0.257,2.035,0.447,0.226,0.0523,190,1.28149831113273
"191","OSR2",0.949,0.171,1.577,0.448,0.227,0.0525,191,1.27984069659404
"192","BCAT1",0.859,0.195,1.605,0.45,0.229,0.0538,192,1.26921772433361
"193","CENPT",0.588,0.278,2.298,0.438,0.229,0.0543,193,1.26520017041115
"194","ZNF701",0.726,0.234,1.635,0.457,0.23,0.0545,194,1.26360349772336
"195","MECOM",0.786,0.216,1.397,0.465,0.23,0.0545,195,1.26360349772336
"196","ZNF175",0.383,0.351,1.604,0.495,0.23,0.0548,196,1.26121944151563
"197","CEBPG",0.862,0.194,1.608,0.448,0.23,0.0548,197,1.26121944151563
"198","RNF2",0.784,0.217,0.336,0.538,0.231,0.0553,198,1.2572748686953
"199","SMAD4",0.621,0.267,0.832,0.52,0.231,0.0556,199,1.25492520841794
"200","CBX2",0.902,0.184,0.879,0.482,0.232,0.0558,200,1.25336580106242
"201","NR1H3",1.116,0.132,1.143,0.458,0.232,0.0561,201,1.25103713874384
"202","CAMTA2",0.769,0.221,1.453,0.463,0.233,0.0569,202,1.24488773360493
"203","KDM1A",0.356,0.361,0.858,0.565,0.233,0.0571,203,1.24336389175415
"204","TEAD4",0.475,0.318,0.883,0.531,0.234,0.0577,204,1.23882418684427
"205","PRDM12",0.577,0.282,2.277,0.437,0.235,0.0582,205,1.23507701535011
"206","GLIS1",1.029,0.152,0.898,0.469,0.235,0.0585,206,1.23284413391782
"207","ZFP28",0.741,0.229,1.881,0.438,0.237,0.0598,207,1.22329881601159
"208","SIX4",0.507,0.306,2.602,0.428,0.237,0.0601,208,1.22112552799726
"209","SRCAP",0.598,0.275,2.073,0.44,0.238,0.0604,209,1.21896306137887
"210","MBD1",1.151,0.125,0.538,0.476,0.239,0.0615,210,1.21112488422458
"211","ZNF48",0.546,0.293,2.297,0.433,0.24,0.0623,211,1.20551195334083
"212","ZNF781",0.631,0.264,2.052,0.437,0.24,0.0626,212,1.20342566678957
"213","MEIS1",1.017,0.155,1.374,0.444,0.241,0.0629,213,1.20134935455473
"214","SPIB",0.798,0.213,1.431,0.452,0.244,0.0652,214,1.18575240426808
"215","MYBL2",0.748,0.227,1.383,0.46,0.244,0.0652,215,1.18575240426808
"216","CUX1",0.666,0.253,1.154,0.473,0.246,0.0669,216,1.17457388223218
"217","ZNF436",0.701,0.242,1.527,0.454,0.246,0.0672,217,1.17263072694617
"218","TRIM28",0.465,0.321,1.792,0.457,0.247,0.0678,218,1.16877030613294
"219","MRE11A",0.853,0.197,1.091,0.461,0.248,0.0684,219,1.16494389827988
"220","ZNF800",0.701,0.242,2.002,0.428,0.248,0.0684,220,1.16494389827988
"221","ZNF133",0.553,0.29,2.083,0.434,0.248,0.0687,221,1.16304326294045
"222","CDCA2",0.671,0.251,1.599,0.449,0.248,0.069,222,1.16115090926274
"223","PGR",0.717,0.237,1.391,0.456,0.249,0.0693,223,1.15926676538819
"224","ZNF549",0.528,0.299,2.185,0.43,0.25,0.0702,224,1.15366288787019
"225","NFIC",0.783,0.217,1.17,0.461,0.251,0.0714,225,1.14630178822383
"226","RING1",0.863,0.194,1.383,0.441,0.251,0.0714,226,1.14630178822383
"227","LMNA",0.515,0.303,1.545,0.461,0.252,0.0723,227,1.14086170270547
"228","SSRP1",0.414,0.339,1.678,0.465,0.252,0.0723,228,1.14086170270547
"229","SP140",0.909,0.182,1.075,0.454,0.253,0.0726,229,1.13906337929991
"230","GFI1B",0.606,0.272,1.66,0.446,0.254,0.0739,230,1.13135556160517
"231","ZNF22",0.585,0.279,1.839,0.438,0.255,0.0745,231,1.12784372725171
"232","ZNF563",0.593,0.277,1.787,0.439,0.256,0.0751,232,1.12436006299583
"233","ZNF445",0.62,0.268,1.67,0.442,0.256,0.0755,233,1.12205304837081
"234","ATF4",0.691,0.245,1.485,0.447,0.258,0.0771,234,1.11294562194904
"235","BIRA",0.441,0.33,1.556,0.461,0.261,0.0797,235,1.09854167860389
"236","ZNF2",0.828,0.204,0.586,0.473,0.261,0.0803,236,1.09528445472132
