"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","AR",21.267,1.14e-100,3.191,0.59,0.01,4.59e-06,1,5.33818731446274
"2","GATA4",5.304,5.66e-08,3.203,0.548,0.021,4.08e-05,2,4.38933983691012
"3","REST",7.62,1.27e-14,2.943,0.599,0.022,4.52e-05,3,4.34486156518862
"4","MAML3",3.369,0.000377,3.067,0.566,0.028,9.92e-05,4,4.00348832784582
"5","TBX5",3.464,0.000266,3.079,0.541,0.033,0.000163,5,3.78781239559604
"6","EBF3",2.599,0.00467,3.095,0.547,0.034,0.000179,6,3.74714696902011
"7","OTX2",6.182,3.16e-10,2.925,0.536,0.036,0.000203,7,3.69250396208679
"8","PLRG1",2.309,0.0105,3.555,0.539,0.036,0.000203,8,3.69250396208679
"9","HOXB13",5.516,1.73e-08,2.992,0.526,0.038,0.000249,9,3.60380065290426
"10","BAHD1",2.214,0.0134,3.393,0.539,0.039,0.000263,10,3.58004425151024
"11","GATA6",4.621,1.91e-06,2.912,0.542,0.04,0.000278,11,3.55595520408192
"12","NANOG",5.84,2.6e-09,2.688,0.557,0.04,0.000294,12,3.53165266958784
"13","PPARG",5.989,1.06e-09,2.441,0.78,0.042,0.000335,13,3.47495519296315
"14","PIAS1",4.605,2.06e-06,2.851,0.543,0.042,0.000335,14,3.47495519296315
"15","EHMT2",2.649,0.00403,2.996,0.539,0.043,0.00037,15,3.43179827593301
"16","ZNF274",1.773,0.0381,3.532,0.545,0.046,0.000428,16,3.36855623098683
"17","TLE3",2.837,0.00228,2.922,0.527,0.051,0.000599,17,3.22257317761069
"18","PHOX2B",1.669,0.0476,3.084,0.552,0.051,0.000599,18,3.22257317761069
"19","SOX2",4.275,9.54e-06,2.448,0.567,0.053,0.000678,19,3.16877030613294
"20","SIX2",3.593,0.000164,2.914,0.519,0.055,0.000764,20,3.11690664142431
"21","FOXA1",12.762,1.33e-37,2.568,0.525,0.056,0.000809,21,3.09205147838773
"22","BRDU",3.066,0.00108,2.807,0.524,0.058,0.000872,22,3.05948351506743
"23","HOXC9",2.15,0.0158,3.074,0.517,0.059,0.000922,23,3.03526907894637
"24","CENPC",1.58,0.057,3.576,0.525,0.06,0.000991,24,3.00392634551472
"25","FOXA2",5.513,1.76e-08,2.649,0.519,0.061,0.00101,25,2.99567862621736
"26","CHAT",2.139,0.0162,3.076,0.515,0.061,0.00103,26,2.98716277529483
"27","DUX4",2.406,0.00806,3.028,0.512,0.061,0.00105,27,2.97881070093006
"28","SMN1",1.576,0.0575,3.351,0.524,0.063,0.00114,28,2.94309514866353
"29","RAD21",9.387,3.08e-21,2.141,0.56,0.064,0.00118,29,2.92811799269387
"30","YBX1",2.505,0.00612,2.99,0.508,0.064,0.00118,30,2.92811799269387
"31","NR2F2",2.861,0.00211,2.349,0.559,0.064,0.0012,31,2.92081875395238
"32","SMAD1",2.482,0.00654,2.455,0.555,0.065,0.00124,32,2.90657831483776
"33","CTCF",26.909,8.63e-160,2.06,0.563,0.066,0.00128,33,2.89279003035213
"34","CENPT",1.549,0.0606,3.446,0.519,0.066,0.0013,34,2.88605664769316
"35","SUMO2",2.579,0.00495,2.79,0.519,0.067,0.00137,35,2.86327943284359
"36","POU5F1",5.41,3.15e-08,2.196,0.548,0.068,0.00143,36,2.84466396253494
"37","EOMES",2.744,0.00304,2.704,0.517,0.07,0.00153,37,2.8153085691824
"38","GATA2",5.582,1.19e-08,2.896,0.486,0.071,0.00162,38,2.79048498545737
"39","SMC3",7.065,8.05e-13,1.98,0.586,0.073,0.00172,39,2.76447155309245
"40","PAX3",1.613,0.0534,2.871,0.534,0.073,0.00175,40,2.75696195131371
"41","PDX1",1.913,0.0279,2.847,0.521,0.073,0.00175,41,2.75696195131371
"42","ZFP28",2.028,0.0213,2.967,0.507,0.073,0.00178,42,2.74957999769111
"43","GATA3",4.581,2.31e-06,2.211,0.536,0.074,0.00183,43,2.73754891026957
"44","MYOG",2.085,0.0186,2.883,0.514,0.074,0.00185,44,2.73282827159699
"45","ARID1A",1.896,0.029,2.61,0.539,0.076,0.00196,45,2.70774392864352
"46","NME2",2.101,0.0178,2.835,0.51,0.078,0.00217,46,2.66354026615147
"47","NKX3-1",1.86,0.0314,2.921,0.51,0.08,0.00229,47,2.64016451766011
"48","HNF4G",2.968,0.0015,2.497,0.512,0.081,0.00235,48,2.62893213772826
"49","SMAD2",2.549,0.0054,2.412,0.519,0.082,0.00248,49,2.60554831917378
"50","NR3C1",6.754,7.17e-12,1.954,0.542,0.083,0.00254,50,2.59516628338006
"51","SOX11",1.708,0.0439,3.008,0.498,0.084,0.00268,51,2.57186520597121
"52","EZH2",8.484,1.09e-17,1.545,0.719,0.086,0.00285,52,2.54515513999149
"53","TCF4",2.305,0.0106,2.162,0.543,0.087,0.00296,53,2.52870828894106
"54","PRDM1",2.171,0.015,2.261,0.529,0.088,0.00307,54,2.51286162452281
"55","HOTAIR",2.516,0.00594,2.721,0.488,0.089,0.00315,55,2.5016894462104
"56","TCF21",2.911,0.0018,1.907,0.558,0.09,0.00327,56,2.48545224733971
"57","CEBPB",7.509,2.99e-14,1.834,0.529,0.091,0.00343,57,2.46470587995723
"58","ATF4",2.433,0.00749,2.636,0.494,0.092,0.00347,58,2.45967052520913
"59","ZIM3",1.894,0.0291,2.825,0.494,0.092,0.00347,59,2.45967052520913
"60","ZNF75D",1.777,0.0378,3.036,0.482,0.093,0.00359,60,2.44490555142168
"61","SUMO1",5.033,2.41e-07,2.04,0.519,0.093,0.00367,61,2.43533393574791
